,CAS-Number,Aroma_Chemical,Odor_Description,Family,Odor_Strength,Perfumary_Note,Perfumary_Note_1,Odor_Strength_1,Family_1,sweet,aldehydic,waxy,citrus,orange,fatty,fruity,moss,tuberose,coconut,musk,wood,herbal,amber,animal,fresh,sandal,lavender,floral,spice
0,112-31-2,Aldehyde C10 – Decanal,"Sweet, aldehydic, orange, waxy and citrus rind",Aldehydic,High,Base,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,112-45-8,Aldehyde C11,"Citrus, waxy, fatty and aldehydic with a green, soapy nuance",Aldehydic,High,Base,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,112-54-9,Aldehyde C12 Lauric,"Soapy, waxy, aldehydic, citrus, orange rindy with floral nuances",Aldehydic,High,Base,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,110-41-8,Aldehyde C12 MNA,fresh amber aldehydic moss citrus tuberose metallic waxy coumarinic,Aldehydic,High,Base,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0
4,104-67-6,Aldehyde C14 – gamma Undecalactone,"Creamy, fatty, fruity, coconut, peach, Iactonic, ketonic and fruity",Aldehydic,Medium,Base,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
5,77-83-8,Aldehyde C16 - Strawberry Glycidate,"Sweet, fruity strawberry-like with floral honey undertones",Fruity,Medium,Base,0,2,12,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
6,104-61-0,Aldehyde C18 – gamma Nonalactone,"Sweet, creamy, coconut, fatty with oily buttery nuances",Coconut,Medium,Base,0,2,10,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,67634-00-8,Allyl amyl glycolate,fruity green galbanum pineapple fusel,Fruity,Medium,Base,0,2,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,929625-08-1,Ambermax 50,amber woody cedarwood ambergris,Amber,High,Base,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
9,7779-50-2,Ambrettolide,"Sweet, soapy, perfume-like with a heavy fruity undertone",Soapy,Medium,Base,0,2,24,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2050-08-0,Amyl Salicylate,herbal floral clover azalea green sweet chocolate,Floral,Medium,Base,0,2,11,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
11,123-11-5,Anisaldehyde,"Sweet, powdery, vanilla, anise, woody, coumarin and creamy with a spicy nuance",Anisic,Medium,Base,0,2,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,89-43-0,Aurantiol,floral lily orange blossom sweet,Floral,Medium,Base,0,2,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13,140-11-4,Benzyl Acetate,"Sweet, fruity and floral",Floral,Medium,Middle,1,2,11,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
14,118-58-1,Benzyl Salicylate,balsam clean herbal oily sweet,Balsamic,Low,Base,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,28940-11-6,Calone liquid,fresh watery clean melon green marine ozone phenolic,Melon,High,Base,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16,33704-61-9,Cashmeran,rich spicy musk woody clean,Musk,Medium,Middle,1,2,20,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
17,NA,Castoreum (synthetic),"Animal, Leather, Castoreum Extract",Musk,Low,Base,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18,67874-81-1,Cedramber,woody dry cedar ambergris,Woody/Amber,Medium,Base,0,2,29,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
19,104-54-1,Cinnamic alcohol,"Cinnamon spice, floral, green and fermented with powdery balsamic nuances",Balsamic,Medium,Base,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
20,928-96-1,cis-3-Hexenol,fresh green cut grass foliage vegetable herbal oily,Green,High,Top,2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
21,3681-71-8,cis-3-Hexenyl Acetate,"Fresh green sweet fruity with apple, pear and melon nuances",Green,High,Top,2,0,14,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
22,5392-40-5,Citral,"Fresh, juicy, Iemon peel, with a sweet tangy green nuance",Citrus,Medium,Top,2,2,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23,106-22-9,Citronellol,floral leather waxy rose bud citrus,Floral,Medium,Middle,1,2,11,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
24,NA,Civet (synthetic),"Animalic, powdery, scatol, leathery, powerful",Animal,High,Base,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
25,91-64-5,Coumarin,sweet hay tonka new mown hay,Tonka,Medium,Base,0,2,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,103-95-7,Cyclamen Aldehyde,floral cyclamen fresh rhubarb musty green,Floral,Medium,Middle,1,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
27,24720-09-0,Damascone alpha,floral rose apple fruity black currant,Fruity,High,Middle,1,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
28,18479-58-8,Dihydromyrcenol,fresh citrus lime floral clean cologne weedy,Citrus,Medium,Top,2,2,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
29,13254-34-7,Dimetol,fresh dihydrolinalool floral woody citrus herbal,Herbal,Medium,Middle,1,2,15,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0
