FireDepartmentName,SubstationName/PhysicalCity,PhysicalAddress1,County,Latitude,Longitude
Abilene Fire Department,Station 2,901 E.S. 27Th,Taylor,32.416,-99.709
Abilene Fire Department,Station 3,1625 Vine,Taylor,32.4299,-99.7448
Abilene Fire Department,Station 4,3750 Grape,Taylor,32.4965,-99.7394
Abilene Fire Department,Station 5,1250 E.N. 16Th,Taylor,32.4662,-99.7025
Abilene Fire Department,Station 6,1482 S. Danville,Taylor,32.4261,-99.7847
Abilene Fire Department,Station 7,431 N.Pioneer,Taylor,32.4557,-99.7787
Abilene Fire Department,Station 8,5680 Buffalo Gap Rd.,Taylor,32.38,-99.7715
Abilene Fire Department,Station 1,250 Grape St.,Taylor,32.4516,-99.7416
Addison Fire Department,Station 02,"3950 Beltway Dr, ",Dallas,32.9508,-96.848
Alabama-Coushatta Indian Nation,ACFD Station 2,13982 US Highway 190 E,Polk,30.72,-94.71
Alamo Fire Department,Station 1,125 S. 9th St,Hidalgo,26.1816,-98.1192
Aldine Fire & Rescue,Station 11,1009 Aldine Bender,Harris,29.9337,-95.3734
Aldine Fire & Rescue,Station 21,2301 Humble Westfield,Harris,30.0211,-95.3927
Aldine Fire & Rescue,Aldine Fire and Rescue Station 31,20440 Imperial Valley Dr,Houston,29.9897,-95.4101
Alice Fire Department,South Side Station,701 South Reynolds ,Jim Wells,27.744,-98.073
Allen Fire Department,Station 02,"1100 E Exchange Pkwy, ",Collin,33.1146,-96.6438
Allen Fire Department,Station 03,"1021 E Bethany Dr, ",Collin,33.0859,-96.6503
Allen Fire Department,Station 04,"615 Alma Dr, ",Collin,33.1073,-96.6988
Allen Fire Department,Station 05,"1950 W McDermott Dr, ",Collin,33.1012,-96.7283
Alvin VFD,Station #2,310 Medic Lane,Brazoria,29.4316,-95.2417
Alvin VFD,Station #3,2700 FM 1462,Brazoria,29.396,-95.2718
Amarillo Fire Department,Fire Station 1,400 S. Van Buren,Potter,35.21,-101.8405
Amarillo Fire Department,Fire Station 2,9000 W. 34th,Randall,35.1767,-101.9434
Amarillo Fire Department,Fire Station 3,6009 Estacado Ln,Randall,35.1373,-101.903
Amarillo Fire Department,Fire Station 4,208 E. Hastings,Potter,35.2508,-101.8321
Amarillo Fire Department,Fire Station 10,11311 Airport Blvd. No. 622,Potter,35.2252,-101.6992
Amarillo Fire Department,Fire Station 12,3100 SW 58th,Randall,35.1494,-101.8735
Amarillo Fire Department,Training Tower,12400 NE 8th Ave.,Potter,35.2219,-101.6814
Amarillo Fire Department,Fire Station 13,6383 SW 45th,Randall,35.1616,-101.9072
Amarillo Fire Department,Fire Station 5,3200 S. Washington,Randall,35.1799,-101.8486
Amarillo Fire Department,Fire Station 6,1904 S. Fairfield,Potter,35.1904,-101.7977
Amarillo Fire Department,Fire Station 7,3618 Amarillo Blvd,Potter,35.222,-101.7937
Amarillo Fire Department,Fire Station 8,108 S. Western,Potter,35.2164,-101.8841
Amarillo Fire Department,Fire Station 9,3445 S. Western,Randall,35.1766,-101.8839
Amarillo Fire Department,Fire Station 11,2401 N. Coulter,Potter,35.2361,-101.9118
Angleton Fire Dept,Station 2  South Station,35 Cemetery Road,Brazoria,29.1504,-95.4276
Angleton Fire Dept,Station 3  North Station,2743 North Velasco,Brazoria,29.1916,-95.4338
Annaville Fire Department,Station 01,11551 Leopard St ,Nueces,27.8494,-97.5935
Annaville Fire Department,Station 02,5242 Co Rd 73 ,Nueces,27.8605,-97.6746
Annaville Fire Department,Station 3,3879 Co Rd 61,Nueces,27.78,-97.5956
Argyle Fire District,Station 513,"865 Copper Canyon Rd, ",Denton,33.0921,-97.1103
Argyle Fire District,Station 514,"6805 Cleveland Gibbs Rd,",Denton,33.1178,-97.235
Arlington Fire Department,Station 01,401 West Main St,Tarrant,32.737,-97.111
Arlington Fire Department,Station 02,1727 Sherry St,Tarrant,32.7161,-97.0712
Arlington Fire Department,Station 03,1820 South Fielder Rd,Tarrant,32.7149,-97.1323
Arlington Fire Department,Station 04,1733 West Randol Mill Rd,Tarrant,32.7507,-97.1362
Arlington Fire Department,Station 05,"2921 E Randol Mill Rd,",Tarrant,32.7491,-97.0548
Arlington Fire Department,Station 12,"5050 S Collins St, ",Tarrant,32.665,-97.0911
Arlington Fire Department,Station 13,"7100 Russell Curry Rd,",Tarrant,32.6293,-97.1715
Arlington Fire Department,Station 14,"5501 Ron McAndrew Dr, ",Tarrant,32.7124,-97.1897
Arlington Fire Department,Station 15,"906 Eden Rd, ",Tarrant,32.6336,-97.1247
Arlington Fire Department,Station 16,"1503 Mansfield Webb Rd,  ",Tarrant,32.6299,-97.0857
Arlington Fire Department,Station 17,"875 Birds Fort Trail, ",Tarrant,32.8041,-97.0967
Arlington Fire Department,Station 06,"2620 S Collins St, ",Tarrant,32.701,-97.0981
Arlington Fire Department,Station 07,"4000 Little Rd, ",Tarrant,32.6837,-97.1923
Arlington Fire Department,Station 08,"2020 Madison Dr,",Tarrant,32.7664,-97.1001
Arlington Fire Department,Station 09,"909 Wimbledon Dr,  ",Tarrant,32.6634,-97.1209
Arlington Fire Department,Station 10,3205 SW Green Oaks Blvd ,Tarrant,32.6596,-97.1605
Arlington Fire Department,Station 11,"2204 Ballpark Way, ",Tarrant,32.7715,-97.074
Atascocita Fire Department - HQ,Station 19,7642 Farmingham Road,Harris,29.9978,-95.1591
Atascocita Fire Department - HQ,Station 29,4000 Atascocita Road,Harris,29.9813,-95.2131
Atascocita Fire Department - HQ,Station 39,19219 Oak Timbers Dr,Harris,29.9997,-95.1896
Austin Fire Dept.,Station 01,401 E 5th St,Travis,30.2657,-97.7394
Austin Fire Dept.,Station 02,506 W MLK Blvd,Travis,30.2825,-97.7438
Austin Fire Dept.,Station 03,201 W 30th St,Travis,30.2947,-97.7387
Austin Fire Dept.,Station 04,1000 Blanco St,Travis,30.2766,-97.755
Austin Fire Dept.,Station 05,1201 Webberville Rd,Travis,30.2782,-97.6842
Austin Fire Dept.,Station 06,1705 S Congress Ave,Travis,30.2465,-97.7504
Austin Fire Dept.,Station 46,"12010 Brodie Ln, ",Travis,30.1563,-97.8602
Austin Fire Dept.,Station 48,"14312 Hunters Bend Rd, ",Travis,30.2461,-97.5826
Austin Fire Dept.,Station 35 ,"5500 Burleson Rd, ",Travis,30.2101,-97.7245
Austin Fire Dept.,Station 45 ,"9421 Spectrum Dr, ",Travis,30.4816,-97.7658
Austin Fire Dept.,Station 40,"12711 Harrisglenn Dr, ",Travis,30.3994,-97.6533
Austin Fire Dept.,Station 51 ,5410 Hwy 290 W,Travis,30.2377,-97.8386
Austin Fire Dept.,Station 31 ,"5507 FM 2222,  ",Travis,30.3577,-97.7869
Austin Fire Dept.,Station 33,"9409 Bluegrass Dr, ",Travis,30.3992,-97.7672
Austin Fire Dept.,Station 47,"4200 City Park Rd, ",Travis,30.3557,-97.8327
Austin Fire Dept.,Station 30,"1021 W Braker Ln, ",Travis,30.384,-97.6923
Austin Fire Dept.,Station 49,"11124 Old San Antonio Rd,",Travis,30.1435,-97.8018
Austin Fire Dept.,Station 34,"10041 Lake Creek Pkwy, ",Travis,30.4658,-97.7869
Austin Fire Dept.,Station 38,"10111 Anderson Mill Rd, ",Travis,30.4464,-97.8019
Austin Fire Dept.,Station 39 ,"7701 River Pl Blvd, ",Travis,30.4043,-97.8368
Austin Fire Dept.,Station 44,"11612 4 Iron Dr, ",Travis,30.4323,-97.779
Austin Fire Dept.,Station 37,"8660 TX71,",Travis,30.2506,-97.8946
Austin Fire Dept.,Station 43,"11401 Escarpment Blvd, ",Travis,30.1829,-97.8976
Austin Fire Dept.,Station 41,11205 Harris Branch Pkwy ,Travis,30.347,-97.6131
Austin Fire Dept.,Station 36,"400 Ralph Ablanedo Dr, ",Travis,30.1747,-97.7935
