Latitude,Longitude,StationName,State,County,StationID,Date,Time,RainAccumulation(Inches),WindSpeed(MPH),WindDirection(Degrees),AirTempreture(Fahrenheit),RelativeHumidity(%),SolarRadiation(W/M^2)
35.69028,-101.56833,CEDAR,TX,Hutchinson,17130795,2022/08/31,12:36:00+00,9.63,1.0,256.0,66.0,90.0,3.0
32.65833,-94.11639,CADDO LAKE,TX,Harrison,17341985,2022/03/15,13:11:00+00,7.19,2.0,311.0,53.0,100.0,6.0
30.98556,-101.15778,BARNHART,TX,Crockett,17311780,2022/03/24,06:08:00+00,0.29,4.0,266.0,41.0,39.0,0.0
31.04944,-98.525,COLORADO BEND,TX,San Saba,17312287,2022/04/25,16:07:00+00,2.08,8.0,36.0,64.0,79.0,183.0
32.13669,-94.84736,HENDERSON,TX,Rusk,17312802,2022/08/31,13:05:59+00,27.01,0.0,66.0,76.0,97.0,131.0
30.105,-94.93139,DAYTON,TX,Liberty,17322276,2022/03/15,13:21:59+00,11.97,4.0,295.0,54.0,80.0,57.0
33.23833,-95.92472,GREENVILLE,TX,Hunt,17320743,2022/08/31,13:07:00+00,20.2,1.0,131.0,75.0,97.0,92.0
29.66917,-94.43833,ANAHUAC,TX,Chambers,17008167,2022/04/04,17:13:00+00,5.37,15.0,109.0,73.0,83.0,284.0
31.28028,-93.83861,SABINE SOUTH,TX,Sabine,17051424,2022/03/15,13:08:00+00,8.98,0.0,290.0,54.0,100.0,11.0
31.395,-95.13889,RATCLIFF,TX,Houston,17051167,2022/08/31,13:02:59+00,25.64,0.0,30.0,72.0,98.0,21.0
30.2625,-98.62889,BIRD,TX,Gillespie,17313315,2022/04/25,16:08:00+00,1.27,10.0,24.0,64.0,87.0,112.0
33.74089,-95.92236,CADDO,TX,Fannin,17049380,2022/08/31,13:02:59+00,23.22,2.0,168.0,74.0,100.0,43.0
30.73694,-94.4325,WOODVILLE,TX,Tyler,17311267,2022/08/31,13:04:00+00,28.92,3.0,23.0,76.0,100.0,66.0
31.89444,-104.79778,PINERY,TX,Culberson,17136168,2022/08/31,12:53:00+00,10.62,8.0,42.0,61.0,100.0,1.0
33.37389,-94.04556,TEXARKANA,TX,Bowie,17322016,2022/08/31,13:05:00+00,32.62,0.0,197.0,73.0,0.0,64.0
30.98556,-101.15778,BARNHART,TX,Crockett,17311779,2022/03/15,13:08:00+00,0.29,7.0,337.0,36.0,55.0,3.0
30.60056,-103.88667,FORT DAVIS,TX,Jeff Davis,17427484,2022/03/15,13:04:00+00,0.16,0.0,215.0,28.0,59.0,0.0
31.92417,-98.59722,COMANCHE,TX,Comanche,17515289,2022/08/31,13:11:00+00,6.87,1.0,180.0,75.0,93.0,63.0
28.885,-99.11056,PEARSALL,TX,Frio,17515548,2022/03/24,06:11:00+00,1.5,0.0,233.0,44.0,39.0,0.0
34.41056,-101.04917,CAPROCK,TX,Briscoe,17312036,2022/03/15,13:08:00+00,0.48,2.0,335.0,38.0,64.0,3.0
31.80247,-94.00022,SABINE NORTH 2,TX,Shelby,17050657,2022/03/15,13:01:00+00,8.37,2.0,291.0,52.0,98.0,3.0
31.90611,-100.58167,PAINT CREEK,TX,Coke,17514778,2022/03/15,13:10:00+00,1.36,5.0,261.0,40.0,57.0,0.0
30.105,-94.93139,DAYTON,TX,Liberty,17322277,2022/06/27,05:22:00+00,19.9,2.0,172.0,82.0,72.0,0.0
32.86722,-98.56167,POSSUM KINGDOM,TX,Palo Pinto,17310243,2022/08/31,13:05:00+00,11.25,3.0,133.0,75.0,96.0,26.0
32.44694,-97.81694,GRANBURY,TX,Hood,17427236,2022/08/31,13:04:00+00,12.86,0.0,339.0,75.0,94.0,33.0
31.97236,-104.94791,PX WELL,TX,Hudspeth,17572372,2022/03/15,12:54:00+00,0.49,4.0,130.0,37.0,48.0,0.0
