Longitude,Latitude,FireCause,County,FireDiscoveryDate,FireDiscoveryTime,FireOutDate,FireOutTime,State
-95.5176071069999,31.129305468,Human,Houston,2021/03/07,19:39:00+00,2021/03/09,22:45:50+00,TX
-99.185791452,32.7587556290001,Human,Shackelford,2020/07/21,22:37:08+00,2020/07/26,23:26:59+00,TX
-96.651840683,30.203171909,Human,Washington,2019/08/23,20:29:00+00,2019/08/24,23:22:00+00,TX
-99.108619205,32.6555611700001,Unknown,Shackelford,2020/07/22,22:14:27+00,2020/07/26,22:01:00+00,TX
-93.924089981,30.235622005,Human,Orange,2017/02/09,01:02:00+00,2017/02/10,19:47:00+00,TX
-100.357997149,32.198966372,Natural,Nolan,2018/07/15,19:50:35+00,2018/07/17,23:28:02+00,TX
-95.031540279,30.471338684,Human,San Jacinto,2017/04/06,17:00:00+00,2017/04/06,19:37:00+00,TX
-96.0787572309999,30.7559387060001,Human,Grimes,2019/09/29,20:45:16+00,2019/09/30,15:28:39+00,TX
-96.1358072359999,30.554771998,Human,Grimes,2019/10/05,19:36:12+00,2019/10/05,22:22:56+00,TX
-94.1569234309999,31.440288912,Human,San Augustine,2016/10/22,18:46:59+00,2016/10/22,20:29:00+00,TX
-94.379206922,33.113605905,Human,Cass,2015/09/21,19:47:59+00,2015/09/21,21:32:00+00,TX
-94.6967236309999,32.5404557800001,Human,Harrison,2017/10/25,17:05:00+00,2017/10/25,20:02:00+00,TX
-94.1964568349999,32.43865578,Human,Harrison,2017/03/26,22:41:00+00,2017/03/27,00:53:59+00,TX
-94.175506884,33.3730059640001,Human,Bowie,2016/01/30,00:27:59+00,2016/01/30,16:05:59+00,TX
-95.224440403,31.8651556250001,Human,Cherokee,2018/05/31,20:03:46+00,2018/06/02,20:16:48+00,TX
-95.604840489,31.650005568,Unknown,Anderson,2018/06/24,22:29:01+00,2018/06/28,19:56:02+00,TX
-93.9852400409999,31.142972188,Human,Jasper,2017/11/26,22:51:59+00,2017/11/27,00:13:00+00,TX
-97.011874231,32.531922348,Unknown,Ellis,2018/08/03,22:34:59+00,2018/08/10,22:11:06+00,TX
-95.104473768,32.944639174,Human,Camp,2018/08/06,20:42:00+00,2018/08/08,14:36:05+00,TX
-103.098308861,29.250304833,Human,Brewster,2016/06/05,15:49:59+00,2016/06/06,17:00:00+00,TX
-95.208990462,33.0097891790001,Human,Franklin,2017/02/01,22:44:00+00,2017/02/01,23:57:00+00,TX
-101.52392054,35.4080343090001,Human,Carson,2020/10/31,21:46:05+00,2020/11/01,00:33:40+00,TX
-95.474225481,32.1179189980001,Unknown,Henderson,2020/10/13,04:54:59+00,2020/10/15,21:30:00+00,TX
-94.9692904,32.972889185,Human,Camp,2018/08/08,20:06:00+00,2018/08/09,15:44:17+00,TX
-101.385842205,35.812228272,Human,Hutchinson,2020/06/10,13:25:08+00,2020/06/10,21:59:59+00,TX
-93.673106613,30.8136054730001,Human,Newton,2016/03/04,22:22:59+00,2016/03/05,02:26:00+00,TX
-95.025458796,33.7412559970001,Human,Red River,2020/11/19,21:11:59+00,2020/11/20,22:03:18+00,TX
-95.0946070319999,31.7735056120001,Human,Cherokee,2016/03/01,09:55:00+00,2016/03/01,12:45:00+00,TX
-94.190606847,32.6746058270001,Human,Harrison,2015/07/17,19:04:00+00,2015/07/17,20:35:59+00,TX
-95.543299554,32.281785089,Human,Henderson,2018/08/06,22:22:59+00,2018/08/09,16:43:53+00,TX
-93.78855663,30.550705414,Human,Newton,2018/08/23,20:49:31+00,2018/08/25,19:22:13+00,TX
-102.149160996,35.085979889,Unknown,Randall,2019/07/03,20:41:54+00,2019/07/05,21:47:15+00,TX
-94.175743509,32.6571841570001,Human,Harrison,2018/07/27,20:07:01+00,2018/07/30,21:37:37+00,TX
-96.537557427,32.2490723070001,Human,Navarro,2016/09/28,20:10:00+00,2016/09/29,21:59:59+00,TX
-94.1841068369999,32.5381058,Human,Harrison,2016/02/04,22:20:00+00,2016/02/05,00:36:00+00,TX
-94.297490232,33.1375725730001,Human,Cass,2017/01/10,19:41:00+00,2017/01/10,20:45:00+00,TX
-94.656506952,32.3858057510001,Human,Gregg,2015/09/11,19:49:00+00,2015/09/11,21:10:00+00,TX
-98.841674629,31.513338746,Human,Mills,2020/08/12,00:06:14+00,2020/08/19,00:10:38+00,TX
-100.937008437,30.917205219,Undetermined,Schleicher,2015/10/07,13:09:00+00,2015/10/12,21:59:59+00,TX
-95.6242071039999,30.532805345,Human,Walker,2015/10/18,17:42:59+00,2015/10/21,13:12:00+00,TX
-100.538508354,31.154171938,Undetermined,Tom Green,2017/07/03,21:19:00+00,2017/07/05,21:59:59+00,TX
-95.718307191,31.763405586,Human,Anderson,2015/07/31,20:28:00+00,2015/07/31,21:08:59+00,TX
-99.411508063,30.8050052570001,Human,Mason,2018/08/08,17:08:36+00,2018/08/18,01:00:20+00,TX
-94.9139069999999,32.048605674,Human,Rusk,2016/01/03,22:17:00+00,2016/01/03,23:47:00+00,TX
-100.275841613,30.9426719160001,Unknown,Schleicher,2018/07/01,20:15:20+00,2018/07/03,23:00:00+00,TX
-94.522223611,32.9786892020001,Human,Cass,2016/12/30,19:38:59+00,2016/12/30,21:08:59+00,TX
-94.1461901769999,32.826255858,Human,Marion,2019/10/02,19:58:26+00,2019/10/09,20:13:58+00,TX
-98.5491746609999,33.381505771,Human,Young,2017/01/24,21:52:00+00,2017/01/27,23:00:00+00,TX
-94.7599069459999,31.79390563,Human,Nacogdoches,2016/03/06,20:48:59+00,2016/03/06,21:46:59+00,TX
-94.846940322,32.214172369,Human,Rusk,2017/09/29,18:59:59+00,2017/09/29,21:45:00+00,TX
-102.103008971,34.9126058630001,Human,Randall,2016/03/22,23:32:59+00,2016/03/23,02:25:00+00,TX
-94.303006801,31.2856055450001,Human,San Augustine,2016/02/27,01:47:00+00,2016/02/27,15:59:59+00,TX
-98.678063525,32.3452833530001,Human,Eastland,2020/08/13,20:30:15+00,2020/08/16,23:38:32+00,TX
-99.220823181,32.8001864620001,Unknown,Shackelford,2018/07/01,21:48:20+00,2018/07/05,22:00:25+00,TX
-101.40700852,30.3806051020001,Human,Crockett,2015/10/18,18:52:00+00,2015/10/19,20:26:00+00,TX
-95.557907165,32.032405645,Human,Anderson,2015/09/05,21:04:00+00,2015/09/06,23:00:00+00,TX
-95.6090237719999,30.7747220540001,Human,Walker,2017/01/31,21:04:00+00,2017/01/31,21:51:00+00,TX
-93.772246673,31.4925956070001,Unknown,Sabine,2020/08/17,16:44:35+00,2020/08/24,16:30:00+00,TX
-101.535286899,35.703062023,Human,Hutchinson,2020/07/05,03:37:16+00,2020/07/05,17:56:58+00,TX
-95.502923878,33.18612253,Human,Hopkins,2016/07/31,18:35:00+00,2016/07/31,22:37:00+00,TX
-97.264666499,30.0993442000001,Unknown,Bastrop,2020/08/26,21:31:02+00,2020/09/05,22:01:00+00,TX
-96.028687215,30.6934153620001,Unknown,Grimes,2020/02/26,20:05:38+00,2020/02/27,19:05:16+00,TX
-95.619707094,30.3389053060001,Human,Montgomery,2016/02/18,18:46:59+00,2016/02/18,20:10:00+00,TX
-95.532290427,30.800988735,Human,Walker,2021/02/02,21:20:59+00,2021/02/02,22:46:00+00,TX
-101.042841799,31.00100523,Unknown,Crockett,2019/08/31,23:55:32+00,2019/09/01,21:04:32+00,TX
-98.453823003,33.770280846,Human,Archer,2020/10/15,19:33:36+00,2020/10/16,21:48:01+00,TX
-95.252807196,33.8594060090001,Human,Red River,2016/02/18,20:23:59+00,2016/02/18,22:33:00+00,TX
-93.875890022,31.3401055730001,Human,Sabine,2017/01/31,19:15:00+00,2017/01/31,20:23:59+00,TX
-97.862738587,28.725504905,Human,Karnes,2018/08/20,19:34:22+00,2018/08/23,22:00:01+00,TX
-99.644309032,28.9220058870001,Human,Zavala,2019/08/16,22:27:10+00,2019/08/19,23:00:50+00,TX
-94.848206978,31.9601056590001,Human,Rusk,2015/10/09,17:52:59+00,2015/10/09,21:30:59+00,TX
-94.8085069369999,31.3886888800001,Human,Angelina,2018/06/23,21:52:53+00,2018/06/28,14:23:32+00,TX
-95.40000703,30.185105283,Human,Montgomery,2015/10/16,20:26:59+00,2015/10/17,00:20:00+00,TX
-100.946880734,35.4106950070001,Human,Gray,2018/04/18,12:19:47+00,2018/04/23,00:00:00+00,TX
-94.9877903989999,32.9131558400001,Natural,Camp,2016/07/16,00:11:00+00,2016/07/16,14:03:00+00,TX
-94.673506856,30.455105363,Human,Hardin,2016/01/29,22:05:00+00,2016/01/30,00:14:00+00,TX
-95.3909070829999,31.3051055080001,Human,Houston,2015/07/20,23:31:00+00,2015/07/22,16:12:00+00,TX
-94.6626208919999,33.383778165,Human,Bowie,2017/11/24,20:26:00+00,2017/11/25,00:49:00+00,TX
-93.696871102,31.3786587640001,Human,Sabine,2021/01/15,20:29:00+00,2021/01/19,14:22:51+00,TX
-94.388006793,30.6765054190001,Human,Tyler,2015/08/01,19:28:00+00,2015/08/01,20:09:00+00,TX
-101.617008585,30.669105146,Natural,Crockett,2015/08/13,00:30:00+00,2015/08/26,18:17:00+00,TX
-95.216507016,30.8601054260001,Human,Trinity,2015/07/24,20:48:59+00,2015/07/25,17:38:00+00,TX
