Latitude,Longitude,StationName,State,County,StationID,Date,Time,RainAccumulation(Inches),WindSpeed(MPH),WindDirection(Degrees),AirTempreture(Fahrenheit),RelativeHumidity(%),SolarRadiation(W/M^2)
44.02861,-90.08306,NECEDAH,WI,Juneau,17372963,2022/08/31,12:48:00+00,22.09,5.0,273.0,62.0,82.0,28.0
36.475,-84.65417,BISO-NP,TN,Scott,17246242,2022/03/15,12:54:00+00,14.94,0.0,197.0,41.0,75.0,37.0
46.30739,-105.02978,KNOWLTON,MT,Prairie,16831540,2022/05/02,22:40:00+00,1.59,11.0,180.0,55.0,44.0,442.0
38.03944,-122.57,BIG ROCK,CA,Marin,17414417,2022/08/03,15:33:59+00,3.53,3.0,144.0,62.0,78.0,138.0
37.33111,-106.2925,SAN LUIS VALLEY PORTABLE,CO,Conejos,17567535,2022/05/06,01:39:00+00,0.0,4.0,230.0,51.0,22.0,40.0
43.17392,-115.15186,DEER HAVEN,ID,Elmore,16824372,2022/05/02,22:44:59+00,1.85,17.0,337.0,43.0,87.0,345.0
35.68194,-85.27333,BLEDSOE SF,TN,Bledsoe,17394716,2022/03/15,13:05:59+00,16.85,3.0,134.0,52.0,53.0,58.0
34.82499,-77.32307,HOFMANN FOREST,NC,Onslow,17274669,2022/03/15,13:11:00+00,6.65,0.0,81.0,51.0,90.0,227.0
37.23307,-119.50585,NORTH FORK,CA,Madera,17115983,2022/03/15,12:55:00+00,18.83,2.0,332.0,44.0,77.0,0.0
39.46806,-109.28583,UPPER P.R. CANYON,UT,Grand,16869943,2022/08/31,13:28:00+00,9.72,3.0,22.0,64.0,29.0,30.0
32.48361,-85.55556,TUSKEGEE,AL,Macon,17085722,2022/08/31,13:27:00+00,1.27,3.0,183.0,76.0,91.0,119.0
39.64,-105.46472,CORRAL CREEK,CO,Jefferson,17206311,2022/08/31,12:58:00+00,12.42,3.0,335.0,53.0,45.0,4.0
41.23778,-77.75167,COFFIN ROCK,PA,Clinton,17549341,2022/08/25,22:15:59+00,24.82,3.0,173.0,75.0,55.0,74.0
44.16858,-111.78161,GAS CAVES,ID,Fremont,16820790,2022/05/09,05:23:00+00,2.87,8.0,179.0,31.0,75.0,0.0
37.17698,-121.39659,ORESTIMBA CREEK,CA,Santa Clara,19779075,2022/08/31,13:07:00+00,17.49,1.0,122.0,49.0,85.0,0.0
37.01111,-81.17861,STONY FORK,VA,Wythe,17539102,2022/03/15,12:58:00+00,10.24,0.0,274.0,33.0,79.0,121.0
34.11,-112.3,HUMBUG CREEK,AZ,Yavapai,16793131,2022/04/25,15:48:00+00,0.67,20.0,28.0,58.0,14.0,485.0
46.92972,-116.90889,POTLATCH,ID,Latah,16916277,2022/03/15,13:11:00+00,4.01,4.0,188.0,44.0,87.0,0.0
36.71039,-118.972,SQF03 PORTABLE,CA,Fresno,19722759,2022/02/09,20:09:00+00,12.39,2.0,113.0,65.0,16.0,724.0
45.82073,-113.95383,SULA,MT,Ravalli,17463835,2022/08/31,13:28:00+00,10.68,0.0,169.0,45.0,60.0,5.0
44.29856,-107.50586,HYATT HIGH,WY,Big Horn,16876333,2022/05/05,00:52:00+00,1.04,1.0,44.0,52.0,72.0,109.0
62.07806,-142.05417,CHISANA,AK,Valdez-Cordova,16904749,2022/08/19,17:57:00+00,0.96,1.0,358.0,61.0,39.0,441.0
