X,Y,OBJECTID,StationName,WXID,ObservedDate,NESSID,NWSID,Elevation,SiteDescription,Latitude,Longitude,State,County,Agency,Region,Unit,SubUnit,Status,RainAccumulation,WindSpeedMPH,WindDirDegrees,AirTempStandPlace,FuelTemp,RelativeHumidity,BatteryVoltage,FuelMoisture,WindDirPeak,WindSpeedPeak,SolarRadiation,StationID
-90.08306,44.0286100000001,1,NECEDAH,17372963,2022/08/31 12:48:00+00,8376139A,474301,950,,44.02861,-90.08306,WI,Juneau,S&PF,WISCONSIN,DNR,WI DNR,A,22.09 inches,5 mph,273 degrees ,62 deg. F,62 deg. F ,82 % ,13.2 volts,19.9 (unk),273 degrees,8 mph,28 w/m2,17372963
-84.65417,36.4750000000001,2,BISO-NP,17246242,2022/03/15 12:54:00+00,FA6321D4,400902,1445,,36.475,-84.65417,TN,Scott,NPS,SOUTHEAST,BIG SOUTH FORK NRRA,,1,14.94 inches,0 mph,197 degrees ,41 deg. F,41 deg. F ,75 % ,12.9 volts,12.6 (unk),300 degrees,2 mph,37 w/m2,17246242
-105.02978,46.3073900000001,3,KNOWLTON,16831540,2022/05/02 22:40:00+00,325AE3F8,244102,3320,SITE IS LOCATED ON A SMALL KNOLL APPROX. 30 YDS. IN CIRCUM.ONE OF HIGHEST POINTS AROUND. ENTIRE AREA IS ROLLING HILLSWITH 3O' PINES .25 MILES TO THE SW AND 100 YDS DOWNHILL FROMTHE STATION. FOILAGE IS ANNUAL GRASS AND VERY SPARSE SAGE,46.30739,-105.02978,MT,Prairie,BLM,MONTANA,MILES CITY,WASHINGTON D.C.,A,1.59 inches,11 mph,180 degrees ,55 deg. F,NO DATA,44 % ,13.7 volts,NO DATA,198 degrees,22 mph,442 w/m2,16831540
-122.57,38.0394400000001,4,BIG ROCK,17414417,2022/08/03 15:33:59+00,CA28F196,42310,1500,,38.03944,-122.57,CA,Marin,S&PF,CALIFORNIA,City of San Rafael,NOVATO,A,3.53 inches,3 mph,144 degrees ,62 deg. F,65 deg. F ,78 % ,13.1 volts,11.3 (unk),115 degrees,6 mph,138 w/m2,17414417
-106.2925,37.33111,5,SAN LUIS VALLEY PORTABLE,17567535,2022/05/06 01:39:00+00,32941370,,9170,"SLV Portable is located on the Conejos Peak District, approximately 18.5 miles west northwest of La Jara, CO.",37.33111,-106.2925,CO,Conejos,USFS,02,RIO GRANDE NF,,A,0 inches,4 mph,230 degrees ,51 deg. F,48 deg. F ,22 % ,13 volts,4.7 (unk),318 degrees,14 mph,40 w/m2,17567535
-115.15186,43.1739200000001,6,DEER HAVEN,16824372,2022/05/02 22:44:59+00,3250E2AA,102711,5535,"ANOTHER NICE SOUTHERLY MID-SLOPE EXPOSURE.  ALL FINGER
RIDGES ARE RUNNING DUE SOUTH, TOWARDS THE SNAKE RIVER
DRAINAGE, WHICH YOU CAN SEE APPROX. 20 MILES AWAY.",43.17392,-115.15186,ID,Elmore,BLM,IDAHO,SHOSHONE,WASHINGTON D.C.,A,1.85 inches,17 mph,337 degrees ,43 deg. F,NO DATA,87 % ,13.8 volts,NO DATA,335 degrees,24 mph,345 w/m2,16824372
-85.27333,35.6819400000001,7,BLEDSOE SF,17394716,2022/03/15 13:05:59+00,0260427C,407102,1780,,35.68194,-85.27333,TN,Bledsoe,S&PF,TENNESSEE,DIVISION OF FORESTRY,Cumberland,1,16.85 inches,3 mph,134 degrees ,52 deg. F,NO DATA,53 % ,12.7 volts,NO DATA,137 degrees,10 mph,58 w/m2,17394716
-77.32307,34.8249900000001,8,HOFMANN FOREST,17274669,2022/03/15 13:11:00+00,3281B3D6,319507,42,Station is located in clearing of Pine Plantation,34.82499,-77.32307,NC,Onslow,S&PF,NORTH CAROLINA,DIV. OF FOREST RES.,D4 NEW BERN,1,6.65 inches,0 mph,81 degrees ,51 deg. F,54 deg. F ,90 % ,14.1 volts,21.7 (unk),168 degrees,0 mph,227 w/m2,17274669
-119.50585,37.2330700000001,9,NORTH FORK,17115983,2022/03/15 12:55:00+00,326CA64C,044204,2721,"Perennial grass, 2 - 3 ft. tall, with intermediate live &black oaks with ponderosa pine. Brush type is Manzanita &ceanothus.Annual temperature average: 20-110 degrees.Annual snow average: 1-2 ft.",37.23307,-119.50585,CA,Madera,USFS,05,SIERRA NF,BASS LAKE RD,1,18.83 inches,2 mph,332 degrees ,44 deg. F,40 deg. F ,77 % ,13 volts,15.9 (unk),356 degrees,6 mph,0 w/m2,17115983
-109.28583,39.46806,10,UPPER P.R. CANYON,16869943,2022/08/31 13:28:00+00,324CB4D4,421406,8269,"SAGE/CHEAT/SAGEBRUSH
STATION SITS HIGH ON TOP OF FINGER RIDGE ABOVE A CANYON
DROPPING OFF 100YDS. SOUTH OF STATION RIDGELINE AND CANYON
ARE RUNNING FROM N.W. TO S.E. AREA IS ROLLING HIGH DESERT,
SAGE.",39.46806,-109.28583,UT,Grand,BLM,R7 Upper CO Basin,VERNAL,WASHINGTON D.C.,A,9.72 inches,3 mph,22 degrees ,64 deg. F,NO DATA,29 % ,13 volts,NO DATA,29 degrees,7 mph,30 w/m2,16869943
-105.66872,36.69469,11,WILD RIVERS,17516319,2022/05/18 13:50:00+00,3291212A,290307,7530,,36.69469,-105.66872,NM,,BLM,R7 Upper CO Basin,TAOS,,A,1.9 inches,8 mph,19 degrees ,60 deg. F,NO DATA,32 % ,13.2 volts,NO DATA,23 degrees,15 mph,207 w/m2,17516319
-119.61131,37.7300300000001,12,YNP PORTABLE,18053677,2022/08/31 13:02:00+00,32D3E21C,,3633,,37.73003,-119.61131,CA,Mariposa,NPS,PACIFIC WEST,YOSEMITE NP,,A,0.24 inches,0 mph,NO DATA,56 deg. F,NO DATA,56 %,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,18053677
-85.55556,32.4836100000001,13,TUSKEGEE,17085722,2022/08/31 13:27:00+00,327EB750,014201,509,,32.48361,-85.55556,AL,Macon,USFS,08,NF'S IN ALABAMA,TUSKGEE,A,1.27 inches,3 mph,183 degrees ,76 deg. F,76 deg. F ,91 % ,13.3 volts,25.7 (unk),184 degrees,8 mph,119 w/m2,17085722
-105.46472,39.64,14,CORRAL CREEK,17206311,2022/08/31 12:58:00+00,327137D6,051804,8081,Jefferson County Outdoor Lab School.,39.64,-105.46472,CO,Jefferson,USFS,02,ARAPAHO/ROOSEVELT NF,CLEAR CREEK,A,12.42 inches,3 mph,335 degrees ,53 deg. F,NO DATA,45 % ,12.7 volts,NO DATA,297 degrees,5 mph,4 w/m2,17206311
-89.79556,30.6619400000001,15,BOGUE CHITTO,18770452,2022/08/31 13:12:59+00,32B108FA,227701,126,,30.66194,-89.79556,MS,Pearl River,FWS,REGION 4,BIG BRANCH NWR,SE La Refuges Comple,A,42.99 inches,0 mph,NO DATA,75 deg. F,NO DATA,97 %,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,18770452
-77.7516699999999,41.23778,16,COFFIN ROCK,17549341,2022/08/25 22:15:59+00,32A08558,360351,2328,Forest District 10.  AT THE COFFIN ROCK FIRE TOWER SITE.,41.23778,-77.75167,PA,Clinton,S&PF,PENNSYLVANIA,NOT APPLICABLE,,A,24.82 inches,3 mph,173 degrees ,75 deg. F,74 deg. F ,55 % ,13.4 volts,7.5 (unk),186 degrees,7 mph,74 w/m2,17549341
