city,country,beach,mountain,history,food,city_life,countryside,nightlife,couple_friendly,outdoor,spiritual,sights,desc,Best_time,img
Paris,France,0,0,1,1,1,0,1,1,0,0,"Eiffel Tower,Louvre Museum,Cathdrale notre dame de Paris,Arc de Triomphe,Musée d'Orsay,Sacré-Cœur,Palace of Versailles,Champs-Élysées","History, culture, food and fashion in one picture-perfect city.Dreaming of the luxurious French Riviera? Sipping Champagne in Champagne? A romantic getaway to Paris? Don’t settle for a standard vacation package. We create custom luxury trips for discerning travelers. Whether you prefer a private chauffeur, a self-drive, or the excellent train system, you’ll experience the country exactly how you want to. Immerse yourself in France’s local culture, meet real people, and taste authentic products. Whether you’re coming for a family vacation, to celebrate a honeymoon, to sample Bordeaux’s fine wines, or to explore majestic Corsica, you’ll experience the real France.","Summer (June to August): Summer is festival season in Paris, with highlights including Paris L'Eté, Fnac Live, and Solidays, while the Bastille Day fireworks draw huge crowds and the Paris Plages festival brings the beach to the banks of the Seine. Temperatures average highs in the 70s F (20s C) and lows in the 50s F (Teens C).",https://img.delicious.com.au/DGZCHR1s/del/2018/12/paris-france-97370-2.jpg
New york,USA,0,0,0,1,1,0,1,1,0,0,"Central Park,The Museum of Modern Art,Statue of Liberty National Monument,Empire State Building,Times Square,Brooklyn Bridge,Baseball game,Chelsea galleries","The tallest buildings, biggest museums, and best pizza—NYC is a city of superlatives, and it lives up to every one of them. From the dazzling spectacle of Broadway to MoMA’s world-class galleries, the boutiques of SoHo, and the array of restaurants offering cuisines from every corner of the world, there’s a different New York to discover every time you visit. Beyond those iconic landmarks, though, New York’s secret side awaits. You’re likely to stumble upon indie vintage shops and locals-only brunch spots even on the shortest of strolls. And when the crowds and noise are too much to take, just look up—that skyline will remind you why you came in the first place.","Spring (April / May) and Fall (September / October) generally offer travelers the mildest weather with temperatures between 50°F and 60°F (10-15°C). If you come at the height of summer (July and August) be prepared for steamy weather with highs around 80°F (26°C) and up. Winters (December, January, and February) are chilly with temps averaging between 30°F (-1°C) and 40°F (4.4°C).",https://img.delicious.com.au/ttEaxwsa/del/2018/12/new-york-usa-97371-2.jpg
Rome,Italy,1,0,1,1,1,1,1,1,1,1,"Colosseum,Pantheon,Trevi Fountain,St. Peter's Basilica,Roman Forum,Vatican Museums,Sistine Chapel,Spanish Steps,Piazza Navona","The eternal city is a heartland for food and history lovers.The sprawling city of Rome remains one of the most significant stops in the world, thanks to its seamless blend of Old World wonders and modern delights. The ruins of the Colosseum, her iconic fountains, lazy wanders through cobblestone streets with gelato in hand: All this and more beckon. Rome is a winding, spectacular city full of places to discover.","Late fall to early spring (October to April): Avoid Rome in July and August unless you can handle heat and humidity with temperatures reaching high 80s°F (26.6°C). Spring and fall offer perfect conditions with temperatures 60 - 70 °F ( 15.5 - 21°C), but the trade-off is peak crowds and prices.",https://img.delicious.com.au/BTJu9b76/del/2018/12/rome-italy-97372-2.jpg
London,UK,1,1,1,1,1,0,1,1,0,0,"Tower of London,The National Gallery,Buckingham Palace,London Eye,Tower BridgeWalk the Thames,Thames cruise","An essential destination for every traveller’s bucket list. London is layered with history, where medieval and Victorian complement a rich and vibrant modern world. The Tower of London and Westminster neighbor local pubs and markets, and time-worn rituals like the changing of the guards take place as commuters rush to catch the Tube. It’s a place where travelers can time-hop through the city, and when they’re weary, do as Londoners do and grab a “cuppa” tea.","Summer (June to August): With average temps around 70°F (21°C) there’s no shortage of entertainment in London over the summer months, when Trooping the Colour, London Pride, Notting Hill Carnival, and Wimbledon Tennis Championships draw huge crowds to the capital.",https://img.delicious.com.au/ZOmI5Coz/del/2018/12/london-uk-97375-2.jpg
Tokyo,Japan,1,1,1,1,1,1,1,1,1,1,"Sensō-ji,Meiji Jingu,Tokyo Skytree,Shinjuku Gyoen National Garden,Tokyo Disneyland,Tokyo Tower,Tokyo DisneySea,Ueno Park,Imperial Palace,Cherry blossom viewing","Japan's capital with skyscrapers, museums, the Imperial Palace & Meiji Shinto Shrine.With its futuristic skyscrapers, unrivaled food scene, and wild nightlife, Tokyo is a rush of pure adrenaline. This vast and multifaceted city is famously cutting edge, yet its ancient Buddhist temples, vintage teahouses, and peaceful gardens offer a serene escape — and a poignant reminder of the city’s long history. And for those who know where to look, Tokyo’s smaller pleasures (secret ramen spots, shopping alleys, chill record bars) are often hiding in plain sight.","October to February: Tokyo is a great destination all year round. However, the summer months can be excruciatingly hot. Avoid July, August, and early September if you don’t like to sweat as the average temperature over these months hovers at 85 Fahrenheit (29 Celsius). Tokyo’s high season falls between mid-March to late April, especially because many domestic and foreign travelers like to come at that time to see the cherry blossoms. Similarly, October and early November are peak times to view the fall foliage.",https://img.delicious.com.au/ErfAJ_zb/del/2018/12/tokyo-japan-97376-2.jpg
Lisbon,Portugal,1,1,1,1,0,1,0,1,1,0,"Belém Tower,Jerónimos Monastery,Padrão dos Descobrimentos,Time Out Market Lisbon,Oceanário de Lisboa","Hilly Portuguese capital known for the Alfama district, São Jorge Castle, fado & nearby beaches.European splendor, under the radar.Nestled among seven hills, this immensely walkable city offers an enchanting alternative to Europe’s more popular capitals. With a lively nightlife scene, festive markets, and vibrant museums, Lisbon provides plenty of options to burn off a few mandatory glasses of Porto, a generous serving of bacalhau, and days’ worth of pastéis de nata.Portugal’s Mediterranean charm is most prominent on the golden beaches of the Algarve; in the wilderness of the Azores islands; among the vineyards of Douro Valley; and on the cobbled streets of Lisbon and Porto, where old-world culture meets cosmopolitan bars and restaurants.","Come June, the city of Lisbon is transformed by a carnival atmosphere for Festas de Lisboa, a two-month-long celebration of Portuguese culture, food, art and music. Average daily temperatures this time of year are highs of 25°C with lows of 16°C.",https://img.delicious.com.au/-a6x6DpP/del/2018/12/lisbon-portugal-97377-2.jpg
Barcelona,Spain,1,0,0,1,1,1,1,1,0,0,"La Sagrada Familia,Casa Milà,Park Güell,La Rambla,Mercado de La Boqueria,Picasso Museum,Cathedral of Barcelona,Wine tasting,Snorkeling trip","An energetic Spanish city to explore.Perfect beaches, world-famous tapas, and Gaudí—the Catalan capital is a Mediterranean dream.There’s nowhere in the world like Barcelona. From days spent strolling the Gothic Quarter to afternoons at the beach and nights partying ‘til dawn, the city is magnetic. While tapas and bustling mercados are worth every bit of attention they get in guidebooks, Barcelona’s true crown jewel is the work of Antoni Gaudí. His iconic creations, like the jaw-dropping Basilica of La Sagrada Familia, are instantly recognizable and have fueled millions of travel dreams. You won’t be the only tourist here (especially during the summer), but even amid the crowds you’ll find your own Mediterranean magic any time of year.","Summer (June to August) and fall (September to November): Summer is fiesta time in Barcelona, when the city hosts some of Europe’s biggest music festivals, including Sonar and Primavera Sound. Average temperatures in summer have a high of 82°F (28°C) and a low of 71°F (22°C).",https://img.delicious.com.au/wvdCCshN/del/2018/12/barcelona-spain-97378-2.jpg
Honolulu,"Hawaii, USA",1,1,0,1,0,1,1,1,1,0,"Diamond Head,Hanauma Bay,Iolani Palace,Pearl Harbor National Memorial,Manoa Falls,Honolulu Zoo,Traditional Hawaiian luau","For a quintessential Hawaiian holiday.Hawaii’s capital, known for Waikiki Beach, Pearl Harbor's WWII memorial & Diamond Head crater.A legendary surfing spot that appeals to wave-chasers and sunbathers alike.The mere mention of Hawaii prompts visions of surfboards and colorful cocktails. Hawaii’s biggest city of Honolulu delivers both top-shelf surf spots and tropical drinks, but you’ll find plenty more here as well. Think art museums, bike trails, and some of the world’s most beautiful scenery. Famous Waikiki Beach entices with soft sands and great surf. Diamond Head’s 350-acre volcanic crater promises majestic Oahu views. And historic sites like Iolani Palace and Ali'iolani Hale enliven any non-beach day.","Shoulder seasons: The best time to visit Oahu is during a shoulder season: from mid-April to early June or between September and mid-December. Attractions are less crowded, rates are lower, and there are lots of festivals taking place. Expect temperatures around 75 Fahrenheit (23.8 Celsius) in either season.",https://img.delicious.com.au/x0_XXdmh/del/2018/12/honolulu-hawaii-97380-2.jpg
Istanbul,Turkey,0,0,1,1,0,1,0,1,0,1,"Hagia Sophia,The Blue Mosque,Topkapi Palace Museum,Grand Bazaar,Basilica Cistern,Galata Tower,Bosphorus,Suleymaniye Mosque,Dolmabahçe Palace","A place where the Middle East meets Asia.Turkish city connecting Europe & Asia, known for architecture from the Byzantine & Ottoman empires.A spellbinding city where cultures collide.Over the centuries, many cultures have added their mark to Istanbul. Today, you can experience those influences firsthand by exploring its mahalles (neighborhoods). From the holy sites of Sultanahmet and the 19th-century European elegance of Beyoğlu to the high fashion of Nişantaşı, the vibrant cafe society of Kadıköy and the football-loving streets of Beşiktaş, it’s easy to see why travelers say that Istanbul isn’t just one city, but multiple cities within one.","The best times to visit Istanbul are between March and May and September and November. April is particularly beautiful because poppies and tulips, which first originated in Turkey, are in full bloom. Average daily temperatures in springtime can be highs of 15 C/59 F and lows of 7 C/45 F and highs around 19 C/66 F and lows around 12 C/55 F in autumn.",https://img.delicious.com.au/WIXeICQZ/del/2018/12/istanbul-turkey-97382-2.jpg
Bangkok,Thailand,1,1,0,1,0,1,1,1,1,1,"The Grand Palace,Wat Arun Ratchawararam,Wat Phra Chetuphon,Temple of the Emerald Buddha ,Chatuchak Weekend Market,Lumphini Park,Chao Phraya dinner cruise,Temple meditation","Follow the scent of street food to this must-see city.Modern Thai capital home to opulent Grand Palace, gold-spired Wat Phra Kaew, canals & nightlife. There are cities and then there is Bangkok. Temples like Wat Pho are thronged with devotees all day. Street food sizzles all evening. The heat never stops. And the nightlife—from sleazy Patpong to ritzy rooftop bars—is second to none. But the pleasures don’t end there. Night markets, mega malls, and the massive Chatuchak Weekend Market all make Bangkok a shoppers’ (and souvenir-hunter’s) dream. You’ll need to prepare yourself—Bangkok is intense. But for travelers craving local secrets and 24/7 energy, there’s nowhere in the world quite like it.","November through January: Bangkok is hot and steamy no matter what time of year you visit, however, the very best time to visit is late November to mid-January. Known as the “cool season,” the temperatures sit around 90 Fahrenheit (36 Celsius).",https://img.delicious.com.au/QvcF4Hu0/del/2018/12/bangkok-thailand-97383-2.jpg
